Imagen,η_10 (Antes),η_01 (Antes),η_11 (Antes),η_20 (Antes),η_02 (Antes),η_10 (Después),η_01 (Después),η_11 (Después),η_20 (Después),η_02 (Después)
apple-1.png,114.31210438841543,122.52936808232258,0.0019394380761466822,0.0021267942319831397,0.0024024303043400173,165.501625559584,177.3170777374934,0.0019559765729281232,0.002142957438148933,0.0024193716128763916
bat-1.png,302.94293526785714,304.0129799107143,0.004421930419628789,0.004631418920595582,0.0046929883892033375,246.19252307901166,246.7597576703774,0.0044337735794768175,0.004648942515335952,0.004698968909657935
beetle-1.png,255.05569286538145,363.1822211237436,0.0056183762761698825,0.004860951034495473,0.009315109417476064,251.76871105391493,358.8469588187483,0.005632466833303629,0.004864967728859489,0.009343187919931597
bell-1.png,125.43600878262991,142.71027079775556,0.003526588990750012,0.0033328125651646556,0.004298754466740751,213.40552854374215,242.62082214137567,0.0035532250156321663,0.003358428189328881,0.0043260771057517374
bird-1.png,188.95522327082568,125.94678677942558,0.0019829866665240638,0.0035256893460067313,0.0015635057022131552,207.81375392181803,138.81031120156024,0.00199462974832224,0.003536139295669739,0.0015740697657014328
crown-1.png,340.11663131441935,271.81538662503186,0.0021895963565879005,0.0032337614793787666,0.002123087326091175,206.11324571992043,164.647494857104,0.0021971367240286766,0.003244493167977935,0.002127947843551304
frog-1.png,134.8282390674741,155.40728595705977,0.002081000491349845,0.0020349227134992963,0.0026990249800945103,160.52359887024875,184.94090924558478,0.0020948943283108797,0.002047885858441599,0.002713831131950964
Misk-1_1.png,168.2407527029746,195.05212161003038,0.0013826869402355597,0.001429100707912448,0.0020305390019159943,133.05930111827882,154.26585079402903,0.0013901351756024864,0.001435115688630902,0.0020397343407653127
octopus-1.png,127.47738898477954,127.38776086615408,0.0019921952825056118,0.002301540668189307,0.002428225592642449,173.93374836284465,173.74713816740658,0.002009389605814605,0.0023199646082573424,0.0024449511167804363
pocket-1.png,72.84741223307998,113.41882012305464,0.0023368970043323206,0.0019085932947915983,0.004447223857607019,151.13941421451491,234.92324366764524,0.002368102730605825,0.0019318337149334937,0.004492152349153687
